mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__init_type,param_classifier__learning_rate,param_classifier__n_epochs,param_classifier__penalty,param_classifier__penalty_strength,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
1.003272104,0.076568133,0.024613333,0.005045792,zero,1,50,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.694656489,0.557251908,0.646153846,0.769230769,0.730769231,0.679612449,0.073438904,595,0.752941176,0.447058824,0.741176471,0.894117647,0.892857143,0.745630252,0.163059773,623,0.586956522,0.760869565,0.466666667,0.533333333,0.434782609,0.556521739,0.114992489,125,0.574468085,0.546875,0.477272727,0.615384615,0.533333333,0.549466752,0.045714796,405,0.772378517,0.694373402,0.692810458,0.789803922,0.798136646,0.749500589,0.046402591,526,0.669948849,0.603964194,0.603921569,0.71372549,0.663819876,0.651075996,0.042158302,479
1.148436165,0.021875292,0.023879623,0.004679246,zero,1,50,l1,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.01}",0.687022901,0.595419847,0.638461538,0.769230769,0.738461538,0.685719319,0.06347424,582,0.741176471,0.458823529,0.741176471,0.894117647,0.928571429,0.752773109,0.165866601,614,0.586956522,0.847826087,0.444444444,0.533333333,0.391304348,0.560772947,0.158801728,112,0.568421053,0.595419847,0.459770115,0.615384615,0.514285714,0.550656269,0.056731357,401,0.757033248,0.689258312,0.670065359,0.802091503,0.78442029,0.740573743,0.052120198,548,0.664066496,0.653324808,0.592810458,0.71372549,0.659937888,0.656773028,0.038496479,451
1.00879283,0.058753408,0.022719002,0.004138979,zero,1,50,l1,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.1}",0.610687023,0.564885496,0.6,0.661538462,0.676923077,0.622806812,0.041111141,648,0.717647059,0.517647059,0.741176471,1,0.976190476,0.790532213,0.179198374,575,0.413043478,0.652173913,0.333333333,0.022222222,0.130434783,0.310241546,0.2205923,590,0.426966292,0.512820513,0.365853659,0.043478261,0.222222222,0.314268189,0.165278307,631,0.704859335,0.660869565,0.568366013,0.690196078,0.777432712,0.680344741,0.06788609,624,0.565345269,0.584910486,0.537254902,0.511111111,0.553312629,0.550386879,0.025056846,645
1.011329031,0.044315228,0.02119236,0.005169614,zero,1,50,l2,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.001}",0.687022901,0.557251908,0.646153846,0.761538462,0.730769231,0.67654727,0.071313962,600,0.741176471,0.447058824,0.741176471,0.882352941,0.892857143,0.74092437,0.160899158,625,0.586956522,0.760869565,0.466666667,0.533333333,0.434782609,0.556521739,0.114992489,125,0.568421053,0.546875,0.477272727,0.607594937,0.533333333,0.54669941,0.042845868,410,0.770332481,0.693094629,0.692026144,0.791372549,0.793478261,0.748060813,0.04603443,531,0.664066496,0.603964194,0.603921569,0.707843137,0.663819876,0.648723054,0.039922545,488
0.985982943,0.069642412,0.019544935,0.001627918,zero,1,50,l2,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.01}",0.679389313,0.58778626,0.638461538,0.746153846,0.738461538,0.678050499,0.060007117,597,0.729411765,0.447058824,0.752941176,0.894117647,0.928571429,0.750420168,0.17021319,620,0.586956522,0.847826087,0.422222222,0.466666667,0.391304348,0.542995169,0.166298971,210,0.5625,0.590909091,0.447058824,0.56,0.514285714,0.534950726,0.050338447,424,0.756265985,0.682097187,0.64,0.809411765,0.76552795,0.730660577,0.061075139,563,0.658184143,0.647442455,0.587581699,0.680392157,0.659937888,0.646707669,0.031425509,493
1.130485439,0.097101095,0.024711323,0.003641853,zero,1,50,l2,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.1}",0.671755725,0.564885496,0.607692308,0.676923077,0.692307692,0.64271286,0.048491261,636,0.811764706,0.505882353,0.741176471,1,0.964285714,0.804621849,0.177192999,547,0.413043478,0.673913043,0.355555556,0.066666667,0.195652174,0.340966184,0.206212504,563,0.469135802,0.521008403,0.385542169,0.125,0.310344828,0.36220624,0.138674461,595,0.72915601,0.670076726,0.55503268,0.817777778,0.772774327,0.708963504,0.091133951,583,0.612404092,0.589897698,0.548366013,0.533333333,0.579968944,0.572794016,0.02851963,635
1.383056498,0.117439151,0.025111151,0.00634999,zero,1,50,elasticnet,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.001}",0.694656489,0.557251908,0.646153846,0.761538462,0.730769231,0.678073987,0.071603012,596,0.752941176,0.447058824,0.741176471,0.882352941,0.892857143,0.743277311,0.160971645,624,0.586956522,0.760869565,0.466666667,0.533333333,0.434782609,0.556521739,0.114992489,125,0.574468085,0.546875,0.477272727,0.607594937,0.533333333,0.547908816,0.043521945,408,0.771611253,0.693861893,0.692810458,0.791372549,0.794513458,0.748833922,0.045990247,529,0.669948849,0.603964194,0.603921569,0.707843137,0.663819876,0.649899525,0.040440675,485
1.416527271,0.099477406,0.026453829,0.008890468,zero,1,50,elasticnet,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.01}",0.694656489,0.595419847,0.638461538,0.761538462,0.738461538,0.685707575,0.061640001,584,0.741176471,0.458823529,0.752941176,0.894117647,0.928571429,0.75512605,0.165768822,609,0.608695652,0.847826087,0.422222222,0.511111111,0.391304348,0.556231884,0.164301669,131,0.583333333,0.595419847,0.447058824,0.597402597,0.514285714,0.547500063,0.058757514,409,0.757800512,0.684910486,0.656470588,0.803137255,0.773809524,0.735225673,0.055397295,554,0.674936061,0.653324808,0.587581699,0.702614379,0.659937888,0.655678967,0.03803863,454
1.430266571,0.113071081,0.027238846,0.007395892,zero,1,50,elasticnet,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.1}",0.664122137,0.580152672,0.6,0.676923077,0.7,0.644239577,0.046123798,634,0.811764706,0.529411765,0.741176471,1,0.976190476,0.811708683,0.171565863,530,0.391304348,0.673913043,0.333333333,0.066666667,0.195652174,0.332173913,0.204653692,571,0.45,0.52991453,0.365853659,0.125,0.315789474,0.357311532,0.137221459,600,0.698721228,0.665473146,0.556601307,0.767843137,0.800465839,0.697820931,0.0853572,603,0.601534527,0.601662404,0.537254902,0.533333333,0.585921325,0.571941298,0.030490213,637
2.168561888,0.091333812,0.028730059,0.008287804,zero,1,100,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.717557252,0.618320611,0.646153846,0.761538462,0.807692308,0.710252496,0.070339512,473,0.894117647,0.764705882,0.682352941,0.858823529,0.785714286,0.797142857,0.074253767,564,0.391304348,0.347826087,0.577777778,0.577777778,0.847826087,0.548502415,0.176799873,147,0.493150685,0.390243902,0.530612245,0.626506024,0.757281553,0.559558882,0.124492324,391,0.801790281,0.565473146,0.722091503,0.762614379,0.881469979,0.746687858,0.104785404,533,0.642710997,0.556265985,0.630065359,0.718300654,0.816770186,0.672822636,0.088441501,401
